epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,11476.4,1.25699,0.93068,0.01202,0.86411,0.71176,0.79687,0.52482,1.4134,1.01049,0.01943,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11705.1,1.24501,0.91501,0.01174,0.85649,0.70933,0.79385,0.52508,1.3938,1.02121,0.01886,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11933.8,1.23462,0.89271,0.01174,0.8455,0.72078,0.79465,0.52742,1.39964,1.01461,0.01898,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12162.3,1.2203,0.89663,0.01153,0.8552,0.71291,0.79196,0.5299,1.38537,1.02405,0.0188,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12391,1.21784,0.85941,0.01145,0.84801,0.71488,0.79528,0.53224,1.38387,1.01718,0.0189,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12619.6,1.20648,0.85337,0.01148,0.87044,0.7232,0.80238,0.53269,1.38063,1.00453,0.01864,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12848.2,1.20369,0.83052,0.01138,0.87059,0.70471,0.79697,0.53095,1.39946,0.99869,0.01922,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13076.9,1.19248,0.85268,0.01118,0.85734,0.71731,0.79733,0.53537,1.36989,1.025,0.01854,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13305.1,1.18568,0.83013,0.01125,0.85657,0.7291,0.79814,0.53805,1.37993,1.04252,0.01874,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13532.2,1.18795,0.82508,0.01099,0.86661,0.7234,0.79795,0.53267,1.41317,1.02138,0.01946,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13759.4,1.17757,0.80629,0.01105,0.86357,0.71627,0.79412,0.53123,1.38156,1.03392,0.01882,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13986.4,1.15664,0.79146,0.01072,0.87023,0.72008,0.79655,0.53585,1.38503,1.02106,0.01902,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14213.5,1.16858,0.77599,0.01083,0.86311,0.72609,0.79492,0.53393,1.38786,1.01613,0.01888,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14440.7,1.1538,0.77781,0.01069,0.87805,0.72008,0.79571,0.53232,1.39149,1.04301,0.01878,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14667.8,1.16431,0.77283,0.01075,0.88387,0.72078,0.79835,0.53601,1.39415,1.02268,0.01888,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14895.6,1.14089,0.76887,0.01044,0.8647,0.73153,0.79559,0.53429,1.39482,1.0345,0.01891,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15122.8,1.12292,0.73974,0.01033,0.8781,0.72841,0.80323,0.53758,1.39265,1.0265,0.01899,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15350.2,1.13406,0.73538,0.0105,0.86135,0.74125,0.79744,0.53873,1.38431,1.03171,0.01864,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15577.7,1.13067,0.72156,0.01027,0.88645,0.72286,0.79944,0.54181,1.37625,1.03924,0.01848,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15805.5,1.13134,0.73724,0.01033,0.86657,0.73604,0.79763,0.53837,1.3711,1.01183,0.01857,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16032.9,1.11138,0.71427,0.01015,0.87768,0.73419,0.7982,0.53743,1.37434,1.0314,0.01856,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,16269.1,1.08767,0.70714,0.00993,0.87412,0.73701,0.80148,0.53747,1.39851,0.99804,0.01899,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16505.8,1.08909,0.70435,0.01002,0.89029,0.72251,0.79978,0.53667,1.39994,1.02748,0.01891,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16755,1.08698,0.67814,0.0099,0.88016,0.73112,0.80304,0.53815,1.40227,1.00222,0.0191,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
