epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,3258.29,1.39264,0.98067,0.01037,0.7871,0.59228,0.67138,0.41092,1.86897,1.64911,0.02343,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3317.89,1.37682,0.97385,0.01037,0.75812,0.60977,0.66654,0.41475,1.8676,1.67467,0.02347,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3377,1.36896,0.95781,0.01025,0.79307,0.59168,0.66624,0.40548,1.86146,1.64335,0.0233,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3436.45,1.38171,0.95958,0.01047,0.79149,0.59755,0.66656,0.40408,1.87054,1.6676,0.02338,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3496.04,1.35148,0.9238,0.00996,0.78519,0.61701,0.67733,0.41252,1.86126,1.6693,0.02311,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3555.63,1.36061,0.94104,0.01003,0.78374,0.60253,0.67045,0.41421,1.87764,1.74933,0.02332,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3614.86,1.3412,0.91854,0.00989,0.80173,0.59952,0.67331,0.41626,1.86292,1.69227,0.02343,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3674.39,1.33043,0.90923,0.00986,0.82365,0.58444,0.66915,0.40558,1.86462,1.71261,0.02337,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3733.79,1.31829,0.89306,0.00952,0.82747,0.5971,0.68681,0.42476,1.87519,1.65764,0.02344,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3793.13,1.32099,0.91473,0.00966,0.76352,0.59004,0.66238,0.41029,1.87431,1.75152,0.02307,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3852.36,1.30617,0.88653,0.00949,0.76557,0.6165,0.66832,0.41025,1.87559,1.63656,0.02334,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3912.08,1.31678,0.89872,0.00961,0.8172,0.60555,0.68028,0.416,1.86477,1.6483,0.02309,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3972.04,1.30299,0.86945,0.00939,0.79735,0.60917,0.67943,0.42061,1.87438,1.69475,0.02305,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4031.89,1.27235,0.858,0.00914,0.79922,0.60615,0.67815,0.42074,1.86117,1.67699,0.02262,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4091.51,1.2874,0.86099,0.00928,0.79945,0.6152,0.68182,0.42121,1.91707,1.63799,0.02404,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4151.25,1.27512,0.84135,0.00946,0.81376,0.62726,0.68496,0.42424,1.88739,1.66718,0.02315,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4210.89,1.28732,0.85614,0.0093,0.81883,0.59973,0.68333,0.42463,1.86114,1.65659,0.02279,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4270.21,1.26786,0.84204,0.0091,0.79724,0.62485,0.68635,0.42401,1.8667,1.65386,0.02299,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4330.1,1.27455,0.83026,0.00925,0.8074,0.62198,0.69051,0.4284,1.85562,1.60816,0.02255,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4390.02,1.25464,0.81514,0.00888,0.78599,0.62425,0.68004,0.42047,1.85778,1.63931,0.02223,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4449.82,1.25722,0.80753,0.00892,0.82712,0.62043,0.68381,0.42345,1.86746,1.66634,0.02286,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4509.86,1.24021,0.79502,0.00892,0.81472,0.62326,0.68634,0.42919,1.84386,1.61851,0.02214,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4569.78,1.23366,0.77905,0.00878,0.81414,0.62726,0.68206,0.42519,1.88851,1.64939,0.02316,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4629.63,1.21758,0.78152,0.00882,0.80844,0.62726,0.69254,0.43312,1.87561,1.60913,0.02306,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4689.3,1.20497,0.7674,0.00865,0.84062,0.62726,0.69139,0.43176,1.86479,1.64043,0.02285,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4748.96,1.22925,0.77589,0.00866,0.80396,0.6357,0.68483,0.42929,1.84589,1.68606,0.02253,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4808.55,1.18766,0.74669,0.00857,0.80627,0.62967,0.69089,0.42921,1.85294,1.63197,0.02241,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4868.62,1.20792,0.75596,0.00847,0.81903,0.62236,0.68404,0.42794,1.86098,1.6649,0.02283,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
